human_index	human_id	human_accession	gene_symbol	sequence_sha256
16	sp|P01135|TGFA_HUMAN	P01135	TGFA	d18a89bf2daa95c4bd4d581664e00678a12e814a203cbd84fac5e9425989754c
17	sp|P04049|RAF1_HUMAN	P04049	RAF1	cccfc1d98eae3098eabc4172a1261029642e3f31e5bbc317cc8a820a75086f1d
18	sp|P04275|VWF_HUMAN	P04275	VWF	91a132cac0ed8c1777c8e469b380ff01451ee3a9e522eee8895f8030f3cd839c
19	sp|P0C7T7|FMAS1_HUMAN	P0C7T7	FMAS1	b6731b6f3f480026eb87e41fdc159ecc8ad3de0ab37fc5d0b2da03a8a9f98888
20	sp|P0C875|F228B_HUMAN	P0C875	F228B	788b2d7866dcb9729eb5e0bdc8dbbce6e03d427fbe14edcfad2d04000377abde
21	sp|P0DSO3|GAGE4_HUMAN	P0DSO3	GAGE4	c035bcd6dfdf0881ff925fc333ebca0acac500776e87ff30479ee1b8608f5ed9
22	sp|P15428|PGDH_HUMAN	P15428	PGDH	896d919bf6539513108fd166c2e2692936d4880644898c00192e4096814984c1
23	sp|P19971|TYPH_HUMAN	P19971	TYPH	9d7c09e39a68cce1de0ca98909ddcf23cd3c3d699234d5b7b01317a13a663af3
24	sp|P35268|RL22_HUMAN	P35268	RL22	20ec3c6d5b01df63a7000bb567c59d7871b0f5b96b73b3d88361590ab432e0b0
25	sp|P48764|SL9A3_HUMAN	P48764	SL9A3	b51fefb32007ce55cbcddddd69c471c6b4d798d8ffad2c7fe98ff6a6de84ba92
26	sp|P49821|NDUV1_HUMAN	P49821	NDUV1	ce9b13dacb27f973e2832aab3e51291a17a7406efa4171114b66043096cd38a6
27	sp|P55082|MFAP3_HUMAN	P55082	MFAP3	b3fbf026a81571eeae3942b3ee017dbf96850813168c1eaa7dd62b64dcee4e19
28	sp|P58005|SESN3_HUMAN	P58005	SESN3	a0d0e02812c2504dafa0dcbe892d5d1c2199c37c846dc715d17386ff3a28d4a9
29	sp|P59190|RAB15_HUMAN	P59190	RAB15	decd8ba60215aab6212c8d626141f5c839c7fa6422afc2258fd8e23273e3629b
30	sp|P78415|IRX3_HUMAN	P78415	IRX3	51e378d11edfae6b97c5a2c49565c3dbddf2bae0c5d3491be9f2af4f1d054e85
31	sp|Q05329|DCE2_HUMAN	Q05329	DCE2	722c1ac8704c29ff8f1c449e7d2ab790a5112667aed163685317abf4cb8734dd
32	sp|Q10713|MPPA_HUMAN	Q10713	MPPA	12c8c75db3a2d70eefe56ffadf80b9b611c72b0a3d99091c96c2f0506005edc1
33	sp|Q13018|PLA2R_HUMAN	Q13018	PLA2R	d88a9bc4272c0b720af6da0d1d915ad46838bd5ddf83f2d83224207d4ee25aa9
34	sp|Q13257|MD2L1_HUMAN	Q13257	MD2L1	5a695f03343d42844301771c66f521beb536e9b9e8bbce2aa48bd3ddfa61b45e
35	sp|Q13838|DX39B_HUMAN	Q13838	DX39B	a11eb0f8e17bce69584fdce8aac45adcc76a6967306e629666f0221bc85c601b
36	sp|Q14585|ZN345_HUMAN	Q14585	ZN345	1280da895736aa30dcada6bb6e31403a0679e30c3445ef832a4fcf20cbc7a799
37	sp|Q15019|SEPT2_HUMAN	Q15019	SEPT2	8e1d36d4b1038ccaf303aa8436b7ac0311378f879102f51b93d4700230e9a905
38	sp|Q15615|OR4D1_HUMAN	Q15615	OR4D1	81310fdde25549449f4e57d53a03b9a88fd3595b18a33cefcdcaa79053a7cc19
39	sp|Q15818|NPTX1_HUMAN	Q15818	NPTX1	2e9496b01999fff2c2e7d658adc7e483859714be26a56a3f833367daf6837ca9
40	sp|Q16394|EXT1_HUMAN	Q16394	EXT1	3836786b7977ec35b4cf8d2f0aa36bc6efe6a3bec8ed963e7731eeba467d83a7
41	sp|Q2VYF4|LETM2_HUMAN	Q2VYF4	LETM2	d0e7dc2debc1729d47e9a53385c4232c07b0903672e9ea2309c6d24283cfc126
42	sp|Q3MIV0|KR221_HUMAN	Q3MIV0	KR221	84e8378885c3010048e4592284e7d137adaf2521379991dd0035db8a8d50c158
43	sp|Q3YBM2|T176B_HUMAN	Q3YBM2	T176B	23f303495205eab6fdcbb66b37f70cc39a87287b84d1e121725b63f942e3739a
44	sp|Q53EZ4|CEP55_HUMAN	Q53EZ4	CEP55	61ee0eac58ad6ce9e905c8e262d04fccc65feb77248a62fae76241c960110ebc
45	sp|Q53HC9|EIPR1_HUMAN	Q53HC9	EIPR1	431226dd173b0499bd405e78b599abbba2ac688a621fdd9c47b16c5ac5da8042
46	sp|Q5JXB2|UE2NL_HUMAN	Q5JXB2	UE2NL	9526be12afab627bd8c4282a2504ce7fd7f507681b0553f46ac76be5f7a4fc9c
47	sp|Q5T0L3|SPT46_HUMAN	Q5T0L3	SPT46	f09e9446436b4cd7c5358b58c7c60c20e3b60eedfa7b57fd0b688be3f7ba3e83
48	sp|Q5VWG9|TAF3_HUMAN	Q5VWG9	TAF3	fc46caa75551b65806795b8787455d50975cd41ad40160171b1aaa9d56eecd37
49	sp|Q5XKE5|K2C79_HUMAN	Q5XKE5	K2C79	da4c4fe34e70a1c39b4253f813ebb66ed3eb13a9e9cc28d8a75edac1c4e47115
50	sp|Q6IPW1|CK071_HUMAN	Q6IPW1	CK071	0c44974b64f3870e50efe354e9458539e128d0bd3b390731ec8c692270ad7d10
51	sp|Q6NXN4|D19P1_HUMAN	Q6NXN4	D19P1	60e28bd6aa3adce29f7dc6f04ef23a49beaa94e1032ff3b7fd8ce6b54b7460c1
52	sp|Q6UWY2|PRS57_HUMAN	Q6UWY2	PRS57	33dc904f88c9ce9a62925da7ba4f2eac8e2fcebcab3d1fb42730ab87d926f29a
53	sp|Q6UX01|LMBRL_HUMAN	Q6UX01	LMBRL	db2cc71a611cea5666f647be352c7e943e6f9dd5ee491809f77aa6808b65e555
54	sp|Q6ZMT1|STAC2_HUMAN	Q6ZMT1	STAC2	e7f54495c3b3fde12829587ff31db10aa967cfc07e97a44620f428e3c3d108e3
55	sp|Q75LS8|FKB9L_HUMAN	Q75LS8	FKB9L	629471f8408731dd4dd28798fb1ee5c6d510adfb0d8f91df1c58e20e5165c304
56	sp|Q7KZI7|MARK2_HUMAN	Q7KZI7	MARK2	e4bd16877129fb7b2877b5ad567ccdaef2a44e1a339c24b88a864640d72c0543
57	sp|Q7RTU4|BHA09_HUMAN	Q7RTU4	BHA09	6f0089694b2b397bc51e42a891f5ba1fc9cf19e8cfc27a6cbacc70650733b1ae
58	sp|Q7Z7K2|ZN467_HUMAN	Q7Z7K2	ZN467	42c8231fc087425ec27ed6c2519419b137bd184ade9794163b08fdc564add91c
59	sp|Q86VD9|PIGZ_HUMAN	Q86VD9	PIGZ	9b774e47843d1d661ae6afc5b586340fbd53bd7faa57c1e39346087772494a72
60	sp|Q8IUC4|RHPN2_HUMAN	Q8IUC4	RHPN2	0a85d178aa2f21ae9fd2a178e28daccc598f7af5d71abd46bc4ce3b2de9fbc50
61	sp|Q8IWV7|UBR1_HUMAN	Q8IWV7	UBR1	09a77a1c0c1f1b9913770ef76772d09b115b942d35d2c1726979b39d17331813
62	sp|Q8IXZ3|SP8_HUMAN	Q8IXZ3	SP8	9f1fa92b9323bc28517b03d7c43aea9d9ff429993a92b80d980523bd4f97e366
63	sp|Q8IZ63|PRR22_HUMAN	Q8IZ63	PRR22	13e6c4d32e4d2b6d9c08e4ea0eca083f8687fd50e88e5ad2090485b206080aca
64	sp|Q8IZI9|IFNL3_HUMAN	Q8IZI9	IFNL3	975dabf645857e326ac7285033f4447a8149cd48e80bc19f866e282b4f9be455
65	sp|Q8IZJ1|UNC5B_HUMAN	Q8IZJ1	UNC5B	e9bdeb43197f30d160cbd8c7706a1c534b8ee0965f0815f1f3b14d7f28d34039
66	sp|Q8N1N2|DYNAP_HUMAN	Q8N1N2	DYNAP	b745c06a427236dcbf5371e1074f3094dab1ca15dec2f26719a3c288b486d639
67	sp|Q8N4H0|SPA6L_HUMAN	Q8N4H0	SPA6L	a9fd30cb58e8f71d82bbbb6929e203af90afa469f2aade985819e454fdf0c155
68	sp|Q8N6N6|NATD1_HUMAN	Q8N6N6	NATD1	69ade68a1b6b32d1f6a808aca28fb011abfdd2cf94805def62801468b18a6bb8
69	sp|Q8N9B4|ANR42_HUMAN	Q8N9B4	ANR42	c7a16f750a55f1ceab7931f5794c5a7e5fecb3badc375edb9d5fbac9b09fdbdf
70	sp|Q8NAF0|ZN579_HUMAN	Q8NAF0	ZN579	9925b4c4be42d467020d1594d45c98951c1dc088eb1d1a2216c9d060217debab
71	sp|Q8NGH9|O52E4_HUMAN	Q8NGH9	O52E4	babec8f8f6d63d111e4c2186f236d8615bd56922a8d38fea2d4c284fe82f8b6d
72	sp|Q8NGQ5|OR9Q1_HUMAN	Q8NGQ5	OR9Q1	c7dba6567d8a1076fd36731238dc192ed42c1446fb131bc68c3eac5b0660b08f
73	sp|Q8NHS3|MFSD8_HUMAN	Q8NHS3	MFSD8	a1bf1f73a52a33207421409d5a69fa02dd2fe939e8d1a1f532a1581ece6565a5
74	sp|Q8TF01|PNISR_HUMAN	Q8TF01	PNISR	a7329ca9a48276b81ce124709753a53082da2cad180c6d95c91b1d7081f67ed7
75	sp|Q8WWI1|LMO7_HUMAN	Q8WWI1	LMO7	32d9100ceaabc439bb86cbcefb1a1829c60faa87cc6a95e13bbd5ed1b256d19e
76	sp|Q8WXK1|ASB15_HUMAN	Q8WXK1	ASB15	08f3715f1be0cee976cf4f8fb0dd01df4eca197a0db28c80c4f3192afe17eacf
77	sp|Q96DC8|ECHD3_HUMAN	Q96DC8	ECHD3	0ee64e19eab841c8b38d1cb56f573642590aac21784bb3a55fa10a99cd30e0cf
78	sp|Q96DE0|NUD16_HUMAN	Q96DE0	NUD16	2d39ea92bdc9565b7703b623053adf9b7f35d6d656fe69bcb7995cefb5d362b4
79	sp|Q96PD5|PGRP2_HUMAN	Q96PD5	PGRP2	b90fb57dc07c1c66d2272fc5c461cde478d56d1ff9aede9cecb01cf41bd3ec89
80	sp|Q96Q89|KI20B_HUMAN	Q96Q89	KI20B	24aa5eac55fa0a1b09238b9c412de51166493037de00dc4abc7701004b25edc2
81	sp|Q96R28|OR2M2_HUMAN	Q96R28	OR2M2	6e9518df65dc568632193eb77c205d0d7090af21a853895b17c444df3ac56bc3
82	sp|Q96S90|LYSM1_HUMAN	Q96S90	LYSM1	24e716e6284a18e0d730024a5cb0f3f5a59436294d167d15804f8044e1aee814
83	sp|Q9BRZ2|TRI56_HUMAN	Q9BRZ2	TRI56	b6c47af06f28b49b87f36760d62a3697b4b31726a9e63a20970ccf9b8d790f23
84	sp|Q9BT23|LIMD2_HUMAN	Q9BT23	LIMD2	0fb6d2e63819c3ec99f56b75738ffc047e8418c34d28e15113d4b4c44c1bf90b
85	sp|Q9BY71|LRRC3_HUMAN	Q9BY71	LRRC3	b2feaffaa367390d08bdcd0b078a96d1df4d89293c42cfab5775b2e60036ac23
86	sp|Q9C0I4|THS7B_HUMAN	Q9C0I4	THS7B	8b5b54669b2a2de64a8966e5516a162b821b1b8212a3b0c3964e566c110e79d0
87	sp|Q9NRY6|PLS3_HUMAN	Q9NRY6	PLS3	c0fd2e6f2f74c1f1827cc8b97b439f179c9bd79dbcbca97a92ca1b1215c8fe4c
88	sp|Q9NUJ1|ABHDA_HUMAN	Q9NUJ1	ABHDA	50b58ba185fd1cb50fccc69f06724f8e00b00938a2a0f43390d13bc7b363caa3
89	sp|Q9NV35|NUD15_HUMAN	Q9NV35	NUD15	14995400edc57f8b57e4c51846467559530c436ed34a22c00d6085db53c79549
90	sp|Q9NVE5|UBP40_HUMAN	Q9NVE5	UBP40	e11e06c9d2a77680aa88c512db1a9f2649768bba98aee2efc1e5691e9b509a89
91	sp|Q9P031|TAP26_HUMAN	Q9P031	TAP26	f50b480df2445008e8fc2763a42658664efff1885fd6b06b35c6e1d29c2117ea
92	sp|Q9P203|BTBD7_HUMAN	Q9P203	BTBD7	8a4859c50a3be7aad6eedb8893c3c9d741813ad8e618df3b253ae62089fa0b67
93	sp|Q9UDX3|S14L4_HUMAN	Q9UDX3	S14L4	e5c524cf28eee1cf7620ecba3e845835dba93ea8b34db94c6204f38b42f39ac0
94	sp|Q9UHP6|RSP14_HUMAN	Q9UHP6	RSP14	2b2695b705cb74ca85ee76dcece25e18d605833bad783248b9f4094ff2b84360
95	sp|Q9UL42|PNMA2_HUMAN	Q9UL42	PNMA2	6c7ae689b934dfa470749b8ae32fadc029a57631150b088ab7566204d9ba5f83
96	sp|Q9UL59|ZN214_HUMAN	Q9UL59	ZN214	041aa3e3741ed2a231b538f1037be36ce7cc05f1811f24a8f7d9525327882f87
97	sp|Q9Y5H7|PCDA5_HUMAN	Q9Y5H7	PCDA5	74d74d800e2db52b33a3703fe87a2c3f469a3c2a1805cf8ed458178e513792fb
98	sp|Q9Y5N5|HEMK2_HUMAN	Q9Y5N5	HEMK2	dfd294d4cd42f7b17d78d8190ac5f5c88001ccd01f7181743a196eae3409eba5
99	sp|Q9Y662|HS3SB_HUMAN	Q9Y662	HS3SB	e6f6992f79e77c2a051a9052b11262506f677b7b6b51d78ebaae60e390d9ab41
100	sp|A0A075B767|PAL4H_HUMAN	A0A075B767	PAL4H	da3d248c9ff4aaba999e3a88f0941b8f813345dcca054ba1559545f9a1337a19
101	sp|A0A087WSZ0|KVD08_HUMAN	A0A087WSZ0	KVD08	6eda06c387490e42e3fa0542c0b7bd7c85cffe09fbf8230a0224599d88a074d0
102	sp|A0A0A0MRZ8|KVD11_HUMAN	A0A0A0MRZ8	KVD11	6253146858304351adca5026b3a7d66b2b38a0acdcb2e1ec80be422d76436554
103	sp|A0A0A0MTA4|TJB25_HUMAN	A0A0A0MTA4	TJB25	dcef5f88b829ea95542269941ce5fb6d97b3ffe0d162c54f88f9d146b90d789e
104	sp|A0A1B0GTB2|TUNAR_HUMAN	A0A1B0GTB2	TUNAR	ad984eab185e88d91cc339295979f4a0ebd293dc1633be1b1203b3448512f2f3
105	sp|A0A1W2PQ72|MSD7_HUMAN	A0A1W2PQ72	MSD7	839be976746fa31d9db2471c0c58d7e0a7e50c7cd35273f6cd475c0e94631ce8
106	sp|A0A286YF77|SCGR6_HUMAN	A0A286YF77	SCGR6	33d58cd77582ded5ae08ed83138d194b8ed245e07e8e86ecef072704583ca216
107	sp|A1L429|GG12C_HUMAN	A1L429	GG12C	1f6380a9f8d6f97d755001c25fb4d3fe93d73d0c00a477fc1613e4e6a9e26a93
108	sp|A6H8M9|CDHR4_HUMAN	A6H8M9	CDHR4	39cf9bccea9d3801e1c71bf84eb9e3617a72e0e73141c8397c3139efd5fba243
109	sp|A6NFA1|TIKI2_HUMAN	A6NFA1	TIKI2	d9a8dcf99abd19d1ee3e645208695c0e9a77a674a07bad3a4be207b437374993
110	sp|A6NJG6|ARGFX_HUMAN	A6NJG6	ARGFX	48cfe46908a317eb3cb4c9f013ca8906201c540b75c078482a17d37ae0ebe238
111	sp|D6RCP7|U17LJ_HUMAN	D6RCP7	U17LJ	fe75b985c8f10a87700b1f7a900339a43399cba3ae643273be177522d2ca2e11
112	sp|O00411|RPOM_HUMAN	O00411	RPOM	e79aa9b4800713f44af407dc0d7dbf8e650d3d6f4da287a4401ec76e359abd04
113	sp|O43598|DNPH1_HUMAN	O43598	DNPH1	b0e77e7b85abffe2b46744acfa2c8ef6ebd3aaab9c5e0cf4b25b4fb288920d03
114	sp|O43709|BUD23_HUMAN	O43709	BUD23	ed5426bd1fc02ce360fe31e5febc3461ac10f6ac779bb3a811f80481d7c048c3
115	sp|O43820|HYAL3_HUMAN	O43820	HYAL3	cb91d0170a7ca939a81de4ed14dbb8da32f7d4765d5a992ff70c71134725ec6a
116	sp|O43915|VEGFD_HUMAN	O43915	VEGFD	58ff084e2c127cf557c363e969bfcc791f8c44d59a9e5a02c7e3c37ca100388d
117	sp|O60573|IF4E2_HUMAN	O60573	IF4E2	38a1c6bd37fb40f2fbc212a10b964a718f11e891dacb71b5860899deafe83a96
118	sp|O75069|TMCC2_HUMAN	O75069	TMCC2	0a955267c91166c2e37369d3761dc9427233058d710ae5baacc38d8a63323258
119	sp|O75179|ANR17_HUMAN	O75179	ANR17	642a36cd99343146fb3f5326204f1d5634d17ecbd6ca818cad34ae070af52d20
120	sp|O94832|MYO1D_HUMAN	O94832	MYO1D	9186e528844f8b183ea7ab6a6544ae9c1cd05d0806d3975c8ccfb52aa36e486b
121	sp|P00491|PNPH_HUMAN	P00491	PNPH	26869a7fa856d719c193b67a32ea0b6e3508c17ae6b4a22b7ec5e3fcce984a5f
122	sp|P04908|H2A1B_HUMAN	P04908	H2A1B	795c30b485b8a84669c79922e916942ab5e70403eae9781fd52d665b2cd646eb
123	sp|P05386|RLA1_HUMAN	P05386	RLA1	7f2445dfc796573c91651a564a83aac7627bb4ec0ea4c907802ef7cf9489984f
124	sp|P06858|LIPL_HUMAN	P06858	LIPL	7046a30829301a51af654f026d269dbc48dd735f88ffb5260d3c2bba1f620093
125	sp|P08473|NEP_HUMAN	P08473	NEP	1a916537b7b555892eb6262b941745a4bee0eec5d0d65b73609e69a3a5ace44f
126	sp|P09630|HXC6_HUMAN	P09630	HXC6	3d10afc647d097593c30376dadedc0afb6d6a7163ab7229a653c6829d1a29426
127	sp|P0C0S8|H2A1_HUMAN	P0C0S8	H2A1	ecb6e6398d4b5254c1a5fdec756b4a48e66e1e94a7e40d0eec67c4fcbbf0b19b
128	sp|P0CG08|GPHRB_HUMAN	P0CG08	GPHRB	00170e66146791f9baeb3a7aa19aed407ccfde16e32bb2fa0ad451b0045c91fc
129	sp|P0DKB6|MPC1L_HUMAN	P0DKB6	MPC1L	4bd014f43e666b8cb06e2971e09e24cd877c376691af5228f9484f4ee67404c8
130	sp|P23434|GCSH_HUMAN	P23434	GCSH	947efca06e4e36fad3c38c5c8b78ec72d679beedbd2847f65935cbc25ff8ffc8
131	sp|P24752|THIL_HUMAN	P24752	THIL	1216a9416365af9e068ee5e0a2f9364b1f7502386629802b005d700c994e22a1
132	sp|P25089|FPR3_HUMAN	P25089	FPR3	7b91cc56436d597f2b192ac83f29cbf14b6ba4e2cca77853a94b6ab645b255ba
133	sp|P49685|GPR15_HUMAN	P49685	GPR15	ff8330db71d2cd9ad7731a24afcbf68aed7bbbd60119c018ceb5ddd2b612dfb0
134	sp|P49720|PSB3_HUMAN	P49720	PSB3	970d64486e9a429373507a215d33d03945b7ad0e2a3a312a1748ed1d9df88c5e
135	sp|P51970|NDUA8_HUMAN	P51970	NDUA8	ba1a72a85a48a2bbc985402740b9cf958086f7022788f09087606c58d89963e2
136	sp|P54792|DVLP1_HUMAN	P54792	DVLP1	0b3c897defc8d04c9986ed2c852ea7c455c42b04f1b135f5ebbbddf07a4f43ef
137	sp|P60509|ERB1_HUMAN	P60509	ERB1	2b331e3fd479fcaa8b7b1ceddfa168cce6b5de9c06987ddc79c9bf5859e070f6
138	sp|P61513|RL37A_HUMAN	P61513	RL37A	55f0ce27192e3dcef8f40de2a5113e868d2d4f2788c7c7dd617b5e111cded1f7
139	sp|P78424|PO6F2_HUMAN	P78424	PO6F2	416b7107af69f6f8e066bda438242d0754cc2722b7b9619593fed04f22ce215f
140	sp|P86481|PR20B_HUMAN	P86481	PR20B	fdfad0fc03570a8780c53fbf80b341f1d25f15f1b8cb38fbee74b8f9fe2bbd37
141	sp|Q07325|CXCL9_HUMAN	Q07325	CXCL9	fa03dcc8cd0d91c5da00909bcaea54286eb259fb91ded4086558837433f10830
142	sp|Q08334|I10R2_HUMAN	Q08334	I10R2	b74cb27abff88a40f246ac0a3fce4cfa8f4f35941048ba124b939e763dd7041e
143	sp|Q09MP3|R51A2_HUMAN	Q09MP3	R51A2	ea052b389c12e20747c4b89af27f9dbc7be040ae8280a343d41b75e7489c0939
144	sp|Q12802|AKP13_HUMAN	Q12802	AKP13	f47c54d31d9cf2d6c8d3b8b018b0560c57b8ae933affa92d375936ca440a247f
145	sp|Q15035|TRAM2_HUMAN	Q15035	TRAM2	26e8ed2e10d35416b492f5349e2e0855d10d94673cf84ce42ba189ac96d94f73
146	sp|Q15118|PDK1_HUMAN	Q15118	PDK1	05e48104919442dd817734f3c0ba08847b06cd02c76a8f88d96aa712545ce773
147	sp|Q15544|TAF11_HUMAN	Q15544	TAF11	3e8a61796cce2483cfbd7d4f6db9426542c9a0d89ad1cbf39d3db0bbab2f1025
148	sp|Q15723|ELF2_HUMAN	Q15723	ELF2	82b1a4129877606ad824eedb2e4f98521ee7b62a691a9f9a8bcc1711e1a507cf
149	sp|Q30KP8|DB136_HUMAN	Q30KP8	DB136	5fc0513b240322348993df214c67d55fc291e89e1e2d6b86142654a3dcb0da4e
150	sp|Q53GD3|CTL4_HUMAN	Q53GD3	CTL4	0d06c97efd6f5bd5586ff7c9c2fe8844b44c0a27c0af82e1b4dac93e1ccef465
151	sp|Q5EBM0|CMPK2_HUMAN	Q5EBM0	CMPK2	f0754ac19a4a33f0d699d996bc8f88bc71f535ce5752ae9659ad7292ad8b0469
152	sp|Q5FYB1|ARSI_HUMAN	Q5FYB1	ARSI	934ec0522eb9ff5495331cad5258ed4aacfc98a51b6907f40c955d3ae9ac907b
153	sp|Q5H9L4|TAF7L_HUMAN	Q5H9L4	TAF7L	4f37d1173c50296d4b8e525a3f6cf1f1f703f372a5a9544e4cfcced26665bbed
154	sp|Q5I0X7|TTC32_HUMAN	Q5I0X7	TTC32	ab3355dd4c9049d9a391077b4869c359c849543394c52c40bf6df26401637eb4
155	sp|Q5SWX8|ODR4_HUMAN	Q5SWX8	ODR4	91dfa43154ee82ba19fd161ce200a89b57d99152e8afd1ff17292bf35ff2f33f
156	sp|Q5TC79|ZBT37_HUMAN	Q5TC79	ZBT37	24ea7bd11cdfe4de1dce78925e240f7bcd70942e1ac3be3059d048d4b0576c75
157	sp|Q5TCM9|LCE5A_HUMAN	Q5TCM9	LCE5A	82fed625d201f3d2b24c52bcb087ba218db181ab15e3936bf0da49dd98d9c72c
158	sp|Q5TEC6|H37_HUMAN	Q5TEC6	H37	da9e31889990201300a40d61de00ccddd504f89f517dd491caea6feabddf50d3
159	sp|Q6ZMH5|S39A5_HUMAN	Q6ZMH5	S39A5	744e1a8db81eff50bb7f40ebb1e921ce20400b31c00e704fab91ce94b3287e76
160	sp|Q6ZUB1|S31E1_HUMAN	Q6ZUB1	S31E1	81eb2447ba16177f9eadf4065bf16087e0c733fab3cd1a1b05922b6fa0d95108
161	sp|Q6ZVF9|GRIN3_HUMAN	Q6ZVF9	GRIN3	24f2436e45afc293c6c799fb8835ddc6b2698c635b35ec1b7625e1a5b6b17460
162	sp|Q70JA7|CHSS3_HUMAN	Q70JA7	CHSS3	1074584fa11a3d7eeec334bde325d352b54715b3283b92e8d58edbb5f75343ae
163	sp|Q8N608|DPP10_HUMAN	Q8N608	DPP10	84239580776eadc905c11f8b3db0f1edfaa470d31833c6cffe0fd1d969b37f3e
164	sp|Q8N823|ZN611_HUMAN	Q8N823	ZN611	d6ed43eeab9154b342ad5b8669065526a3701c6f09cdde0cd75eab2e37054b61
165	sp|Q8NCX0|CC150_HUMAN	Q8NCX0	CC150	1c3b3b74b8c8bd7b7fe0947f9baef60f915fd6987cacd9e8d64ad751d4e65157
166	sp|Q8NGJ7|O51A2_HUMAN	Q8NGJ7	O51A2	632957ee7aa5795690cfe2032ce9c1139a07c4c0330aedf64ef3c611ecaf6fcb
167	sp|Q8NGL1|OR5DI_HUMAN	Q8NGL1	OR5DI	007fe7d561b4dcafbc115ad27178cc2fbd67c7582bff82c6b7eeb39e4d02bc0d
168	sp|Q8TC56|GAR3_HUMAN	Q8TC56	GAR3	68555ef28b9d8586803e58f48dbb82e71a89129602bd70e1a9939845a3224c6b
169	sp|Q8TF21|ANR24_HUMAN	Q8TF21	ANR24	b205e578c2c77e8259b2f789bf8015cb9da231acb747d5223573ad90d765fd17
170	sp|Q8WTW3|COG1_HUMAN	Q8WTW3	COG1	b04b5845f45f5802e1a4c0cf22ef25727e53e77350dad8c6d0fdabc3713b331c
171	sp|Q8WU66|TSEAR_HUMAN	Q8WU66	TSEAR	edd09f3b16b279902ddf9578f69c1002b4ec0af89500c742f289d14612429375
172	sp|Q92503|S14L1_HUMAN	Q92503	S14L1	c737eea3184c62dee8ad4cdf2d13e8fdb97dcd71de0ccd049a70da36732bbf0b
173	sp|Q92918|M4K1_HUMAN	Q92918	M4K1	fa0f51b852fae4a327f922aba11d77ccc6b9056ed7cde130b6e2de5dda96c497
174	sp|Q92954|PRG4_HUMAN	Q92954	PRG4	a767a82e7ab1f42b6d3babcd9f3a09ef5ad9c7a0e2f1940a8f757db8a013a85f
175	sp|Q96C00|ZBTB9_HUMAN	Q96C00	ZBTB9	9aa031a261ebe994cf0b9e6bd555fd2f30d8ec9b8827bc6eeb2fa70f68cfae88
176	sp|Q96IX5|ATPMK_HUMAN	Q96IX5	ATPMK	96100e3c267388e5ecc1dcd75b4b5abba9bbb8f20730b3206f28c959a46b0ac2
177	sp|Q96LP6|CL042_HUMAN	Q96LP6	CL042	51b01472ef4fdc76481857cf7c8d46ea5b03b58e6d7876014e8b80da60b0a306
178	sp|Q96MH6|DIESL_HUMAN	Q96MH6	DIESL	ddefeaed7c8884229f742bcfa9ebb19d6b54efb0352015f103757af41123352f
